Reviewer,Content,Date,Stars,Local Guide,Likes
Tung Anh Yogi,Mọi người thân thiện khi Ci Yoga Therapy đến làm workshop tại đây,4 tuần trước,5 sao,2 bài đánh giá · 2 ảnh,0
Cẩm Thuy,"Hợp đồng không được chăm sóc, không có nhân viên hỗ trợ khi gặp vấn đề. Hỏi đáp khó khăn. Bán được sản phẩm là cty hết trách nhiệm. K có ưu đãi hay điểm thưởng hay bất cứ quà tặng nào cho khách ngoại trừ cái áo mưa năm đầu tiên. Khi có vấn đề k liên hệ đc nhân viên manulife",3 tuần trước,1 sao,2 bài đánh giá · 3 ảnh,0
Hiền Trần,"Bạn bè, người thân nói mình mua bảo hiểm không có lợi gì đâu mà mình vẫn mua Manulife do nhân viên VPB gọi giới triệu và bảng minh họa chỉ vẽ 1 bức tranh tài chính không đúng như lúc bạn đã đóng phí nhiều năm thì khi kết thúc hợp đồng Bạn chỉ nhận được 1 Khoản tiền nhỏ chỉ khoảng 25% giá trị hợp đồng đã đóng. Nếu rủi ro bạn không thể tiếp tục đóng phí và bạn MẤT 75% số tiền đã đóng phí dù bạn đóng 2/3 thời gian của hợp đồng. LỜI KHUYÊN CHÂN THÀNH: BẠN HÃY TIẾT KIỆM TỪNG ĐỒNG RỒI MUA VÀNG, $$, Đầu tư học hành, kinh doanh... Mua Bảo Hiểm Y Tế Hàng Năm phòng rủi ro bệnh tật. NÉ NGAY VÀ LUÔN BẢO HIỂM NHÂN THỌ để khỏi mất tiền NGU như mình! NHỚ KỸ NHÉ!",2 tháng trước,1 sao,Local Guide · 25 bài đánh giá · 28 ảnh,0
Tuấn Anh Nguyễn,"Manulife ủy quyền cho công ty này giải quyết claim BH cho tôi, sau hàng loạt yêu cầu hồ sơ theo phương châm : câu giờ làm khách hàng nản lòng. Mọi người định mua BH của manulife hay sử dụng dịch vụ của insmart thì nên cân nhắc lại. Vẽ lên viễn cảnh tươi đẹp lắm, chi trả hậu hĩnh lắm... nhưng khi quý khách trải nghiệm rồi sẽ hiểu thế nào là bảo hiểm nhân thọ. Còn các TH chi trả, trả dc cho ai đồng nào là seeding , mua bài truyền thông liền - nhưng những trường hợp ko dc chi trả thì họ có dám post lên ko? Lấy tiền của bhnt ko dễ đâu quý vị ạ. Tôi vượt qua định kiến xã hội để mua BHNT rồi cuối cùng bẽ bàng nhận ra lời cảnh báo của mọi người là sự thật.",4 tháng trước,1 sao,16 bài đánh giá · 17 ảnh,2
Quyen Dinh,Tôi cần nhân viên giải quyết về quyền lợi của tôi nhưng tấy cà các kênh đều chậm trễ. Và tại thời điểm này hơn 1 tháng vẫn dậm chân tại chỗ,3 tháng trước,1 sao,1 bài đánh giá · 8 ảnh,2
Clever Kids,"Manulife là một công ty bảo hiểm Nuoc ngoài đầu tiên vào Việt Nam,  đội ngũ từ van chuyện nghiệp và dịch vụ bảo hiểm hàng đầu, uy tín.  Đao tao chuyện nghiệp,  họ so giải quyết nhanh chóng.  Rất ok",5 năm trước,5 sao,Local Guide · 14 bài đánh giá · 510 ảnh,2
Diep Ngoc,"Văn phòng đep, rông rãi, nhân vien nhiet tinh than thien. Vote cho Manulife Vietnam - Van Phong Pham Ngọc Thạch",5 năm trước,5 sao,1 bài đánh giá · 4 ảnh,1
QUANG PRO - Review tất tần tật,"Văn phòng sạch đẹp, nhân viên lịch sự và văn hoá doanh nghiệp rất thân thiện, hiếu khách.",3 năm trước,5 sao,Local Guide · 144 bài đánh giá · 117 ảnh,0
Tran Quoc Cuong,Công ty tài chính chuyên nghiêp Quy tụ nhiều bạn trẻ có đam bán hàng,6 năm trước,5 sao,Local Guide · 57 bài đánh giá · 56 ảnh,0
Thị Hiền Đào,Gọi điện ko nghe máy tư vấn ko niềm nỡ,5 tháng trước,1 sao,1 bài đánh giá · 1 ảnh,0
Nguyễn Ngọc Đan Thanh,"Văn phòng đẹp, thoải mái, giờ giấc tự do, công việc nhẹ, lương cao",5 năm trước,5 sao,1 bài đánh giá · 2 ảnh,0
Trương Phúc,"Giải quyết quyền lợi khách hàng nhanh chóng, linh hoạt. Trước khi đi nên coi trước tầng 5 hay 7.",một năm trước,5 sao,Local Guide · 53 bài đánh giá · 36 ảnh,0
XUAN DUC13,"Quá thất vọng phát ngôn GIám đốc Manulife khi cho rằng DV Ngọc Lan khách hàng mua BHNT là hồ đồ,.. mua BHNT như mua mớ rau,.. ko đọc HD 100 trang..",một năm trước,2 sao,1 bài đánh giá,26
Yang Production,Văn phòng đẹp và năng lượng. Vote cho Manulife Văn Phòng Phạm Ngọc Thạch,4 năm trước,5 sao,1 bài đánh giá · 8 ảnh,0
Hung Dam,Giữ xe thái độ không tốt. Nhân viên chăm sóc khách hàng lầu 7 đưa sai form làm mất thời gian của khách hàng. Cuối cùng cũng có bạn nhân viên khác hỗ trợ giấy tờ.,4 năm trước,3 sao,Local Guide · 23 bài đánh giá · 10 ảnh,4
Phố Phồng,"Tư vấn không trung thực , sản phẩm bị lỗi, không tôn trọng khách hàng đến khiếu nại , lửa đảo",một năm trước,1 sao,1 bài đánh giá,5
PHOTOGRAPHER THANG DUONG,"Đội ngũ chuyên nghiệp, tận tình ❤️",5 năm trước,5 sao,Local Guide · 57 bài đánh giá · 153 ảnh,0
Nguyễn Thị Hồng Mơ,"Van phong dep, rong rai. Danh gia 5 sao cho Bao Hiem Manulife",4 năm trước,5 sao,4 bài đánh giá · 7 ảnh,0
Nhi Pham,Van phong dep. Rong rai va thoai mai. Vote cho Manulife Pham Ngoc Thach,5 năm trước,5 sao,1 bài đánh giá · 2 ảnh,0
My Tú Nguyễn Háo,Van phong đẹp. Rộng rãi và chuyen nghiệp,3 năm trước,5 sao,2 bài đánh giá · 1 ảnh,0
Khương Vũ Đình,"Nhân viên tiếp khách hàng hoà nhã, phục vụ nhiệt tình, có trách nhiệm. Kết quả giải quyết đúng hạn. Cám ơn.",5 năm trước,4 sao,Local Guide · 125 bài đánh giá · 7 ảnh,1
Trang sức Bạc HAS,"Môi trường làm việc tốt, công ty bảo hiểm uy tín, chi trả nhanh chóng⭐️❤️5 ⭐️",2 năm trước,5 sao,Local Guide · 19 bài đánh giá · 115 ảnh,0
Thiện Nhân Mio (Chú bé Ô),"văn phòng đẹp, tiện nghi, tôi tham gia hợp đồng bảo hiểm từ năm 2004 đến nay. tôi rất hài lòng",4 năm trước,5 sao,1 bài đánh giá,1
DUYÊN PHẠM,An Toàn,3 tuần trước,4 sao,6 bài đánh giá · 15 ảnh,0
DAT PHAM MINH,Van phong dep va rong rai,4 năm trước,5 sao,10 bài đánh giá · 15 ảnh,0
Đức Bùi,"Xử lý nhanh lẹ, nhân viên lịch sự chu đáo",một năm trước,5 sao,Local Guide · 61 bài đánh giá · 236 ảnh,0
Minh Nghia Manulife,Văn phòng làm việc chuyên nghiệp,4 năm trước,5 sao,Local Guide · 40 bài đánh giá · 61 ảnh,0
Thomas Le,Nhanh chóng tiện lợi khi cần giải quyết vấn đề tài chính cá nhân,5 năm trước,4 sao,Local Guide · 51 bài đánh giá · 130 ảnh,0
Kim Phong Trần,"Co mua hop dong bao hiem o day, duoc phuc vu rat nhiet tinh, tui rat thich",4 năm trước,5 sao,1 bài đánh giá · 1 ảnh,0
Trần Danh (Taurus),"Trụ sở rộng, đẹp, sang trọng, nằm đối diện nhà văn hóa thanh niên.",3 năm trước,5 sao,Local Guide · 312 bài đánh giá · 1.105 ảnh,0
Nga Nguyễn,Rất chu đáo từ em trai thanh niên lấy số đến bà lao công.,4 năm trước,5 sao,Local Guide · 116 bài đánh giá · 56 ảnh,0
Minh Nguyen,"Hơi chậm, thủ tục rườm rà, công nghệ cổ lỗ sỉ. Nhân viên dễ thương.",4 năm trước,4 sao,Local Guide · 184 bài đánh giá · 127 ảnh,1
tai dangthanh,"van phong dep, rong rai, tien nghi va lam viec chuyen nghiep. toi rat thich. Vote cho Bao Hiem Manulife",4 năm trước,5 sao,2 bài đánh giá,0
Phúc Tín,van phong dep va rong rai. nhan vien phuc vu rat chuyen nghiep,4 năm trước,5 sao,1 bài đánh giá,0
Do Huu Di,"VĂN PHÒNG ĐẸP, TÔI DẾN ĐÂY GIAO DỊCH MÙA DỊCH COVID NÊN RẤT VẮNG, PHỤC VỤ NHANH",4 năm trước,5 sao,1 bài đánh giá,0
